edition,edition_id,country_noc,sport,event,medal,gold,silver,bronze,total,year,country
1964 Summer Olympics,16,ARG,Equestrian Eventing,"Individual, Open",Silver,0.0,1.0,0.0,1.0,1964,Argentina
1964 Summer Olympics,16,AUS,Athletics,"10,000 metres, Men",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Athletics,"200 metres, Women",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Athletics,"400 metres, Women",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Athletics,"400 metres, Women",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Athletics,"80 metres Hurdles, Women",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Athletics,"High Jump, Women",Silver,0.0,1.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Hockey,"Hockey, Men",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Judo,"Open Class, Men",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Sailing,"5.5 metres, Open",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"1,500 metres Freestyle, Men",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"1,500 metres Freestyle, Men",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"100 metres Freestyle, Women",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"200 metres Breaststroke, Men",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"200 metres Butterfly, Men",Gold,1.0,0.0,0.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"4 × 100 metres Freestyle Relay, Men",Bronze,0.0,0.0,1.0,1.0,1964,Australia
1964 Summer Olympics,16,AUS,Swimming,"4 × 100 metres Freestyle Relay, Women",Silver,0.0,1.0,0.0,1.0,1964,Australia
