,edition,edition_id,city,country_noc,start_date,end_date,year,total_countries,total_athletes,total_events,top_country,total,host,noc,winner
0,1964 Summer Olympics,16,Tokyo,JPN,10/10/1964,10/24/1964,1964,93,5422,155,URS,93,Japan,URS,Soviet Union
1,1968 Summer Olympics,17,Ciudad de México,MEX,10/12/1968,10/27/1968,1968,112,5841,172,USA,107,Mexico,USA,United States
2,1972 Summer Olympics,18,München,FRG,8/26/1972,9/11/1972,1972,121,7392,188,URS,99,West Germany,URS,Soviet Union
3,1976 Summer Olympics,19,Montréal,CAN,7/17/1976,8/1/1976,1976,92,6220,183,URS,125,Canada,URS,Soviet Union
4,1980 Summer Olympics,20,Moskva,URS,7/19/1980,8/3/1980,1980,80,5383,189,URS,195,Soviet Union,URS,Soviet Union
5,1984 Summer Olympics,21,Los Angeles,USA,7/28/1984,8/12/1984,1984,140,7209,211,USA,173,United States,USA,United States
6,1988 Summer Olympics,22,Seoul,KOR,9/17/1988,10/2/1988,1988,159,9054,233,URS,131,Republic of Korea,URS,Soviet Union
7,1992 Summer Olympics,23,Barcelona,ESP,7/25/1992,8/9/1992,1992,169,9875,249,EUN,112,Spain,EUN,Unified Team
8,1996 Summer Olympics,24,Atlanta,USA,7/19/1996,8/4/1996,1996,197,10530,248,USA,101,United States,USA,United States
9,2000 Summer Olympics,25,Sydney,AUS,9/15/2000,10/1/2000,2000,200,10832,264,USA,91,Australia,USA,United States
10,2004 Summer Olympics,26,Athina,GRE,8/13/2004,8/29/2004,2004,201,10827,265,USA,101,Greece,USA,United States
11,2008 Summer Olympics,53,Beijing,CHN,8/8/2008,8/24/2008,2008,204,11238,279,USA,112,People's Republic of China,USA,United States
12,2012 Summer Olympics,54,London,GBR,7/27/2012,8/12/2012,2012,205,10768,261,USA,104,Great Britain,USA,United States
13,2016 Summer Olympics,59,Rio de Janeiro,BRA,8/5/2016,8/21/2016,2016,207,11406,263,USA,121,Brazil,USA,United States
14,2020 Summer Olympics,61,Tokyo,JPN,7/23/2021,8/8/2021,2020,206,11579,290,ROC,142,Japan,ROC,ROC
15,2020 Summer Olympics,61,Tokyo,JPN,7/23/2021,8/8/2021,2020,206,11579,290,ROC,142,Japan,ROC,Russian Olympic Committee
