Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-14, total",SP.POP.0014.TO,Africa Eastern and Southern,AFE,57766140,59417612,61174179,63018650,64954558,66978043,69056382,71199056,73430497,75740117,78149231,80637169,83154884,85717332,88342975,91026584,93810644,96564864,99433945,102517102,105492682,108643457,112055738,115359873,118599918,121964760,125538031,129373151,133242293,137128251,141186924,145195102,149106299,153191140,156946382,160646514,164856024,168910103,172634594,176334867,180120975,183943017,187885424,191995002,196304857,200848834,205642756,210693620,215978619,221392710,226873997,232368309,237989980,243817023,249670374,255568551,261491996,267368650,273240920,279121688,284994017,290770514,296437659,301977201
"Population ages 00-14, total",SP.POP.0014.TO,Africa Western and Central,AFW,40188607,41133083,42129142,43225330,44444306,45683833,46902683,48152165,49437940,50767276,52144250,53579206,55082388,56662040,58336990,60118671,61944990,63836644,65860518,67988841,70209917,72522024,74915051,77270729,79650272,82127580,84594826,87024538,89365515,91722414,94042963,96342018,98726623,101057131,103385608,105810828,108294136,110873690,113537657,116308923,119321789,122578929,125972032,129441566,133026955,136779261,140687199,144709616,148850420,153123117,157527345,162088182,166754375,171402589,175977565,180457903,184878888,189242017,193530566,197765836,201950074,206074345,210118276,214066031
"Population ages 00-14, total",SP.POP.0014.TO,Albania,ALB,660230,688745,717420,745316,771925,796052,817875,839008,861076,882497,899332,913306,926505,936772,944750,951662,956827,961394,964386,966642,970111,974211,980546,987991,996239,1005217,1014123,1024879,1036097,1057214,1070213,1058179,1046562,1035046,1023354,1011146,997155,980288,960317,937598,912618,882800,856575,828357,798628,767057,734388,700936,668414,638164,611109,588210,568948,552588,537717,523328,511771,501223,489665,478127,467437,457788,448503,439685
"Population ages 00-14, total",SP.POP.0014.TO,Algeria,DZA,5211644,5350058,5460644,5580961,5705901,5815854,5939056,6086028,6225195,6360202,6496998,6638882,6785870,6936002,7087957,7359419,7762463,8068941,8268423,8475386,8696660,8933764,9182394,9438480,9697367,9956659,10204818,10426960,10621339,10792000,10934367,11061558,11186606,11291154,11358252,11361220,11245512,11037028,10823516,10619510,10413266,10210933,10018934,9850680,9718834,9624314,9573291,9572368,9622867,9726992,9886094,10100229,10370488,10700395,11074025,11468788,11874029,12279473,12665338,13013432,13316668,13567972,13759806,13886736
"Population ages 00-14, total",SP.POP.0014.TO,American Samoa,ASM,9833,10015,10247,10516,10820,11151,11483,11808,12140,12473,12698,12796,12869,12946,13036,13154,13276,13364,13431,13495,13673,14020,14433,14867,15333,15840,16394,16999,17657,18370,19014,19517,19979,20450,20936,21431,21921,22384,22803,23198,23382,23242,22951,22597,22173,21676,21125,20545,19978,19480,18964,18394,17846,17302,16750,16180,15585,14966,14326,13672,13025,12390,12019,11880
"Population ages 00-14, total",SP.POP.0014.TO,Andorra,AND,2539,2797,3074,3362,3654,3936,4272,4717,5189,5615,5995,6349,6678,6983,7272,7543,7803,8048,8259,8410,8451,8378,8497,8799,8977,9000,9084,9282,9418,9501,9529,9557,9622,9707,9813,9939,10006,10024,10056,10086,10098,10339,10815,11270,11676,11978,12108,12086,12007,11884,11671,11598,11655,11598,11416,11123,11006,10851,10573,10437,10361,10333,10213,9947
"Population ages 00-14, total",SP.POP.0014.TO,Angola,AGO,2262702,2324998,2388381,2453352,2519819,2579853,2630174,2674983,2717921,2766841,2835372,2918753,3005144,3095371,3188856,3284644,3382193,3483275,3589729,3702420,3822619,3951381,4089705,4237369,4395162,4564724,4745349,4931082,5119888,5313625,5510511,5712258,5913592,6114435,6321984,6533196,6746092,6961351,7175539,7391559,7613776,7845166,8088458,8346384,8623027,8918293,9232012,9565811,9920475,10294694,10687901,11097418,11523006,11963922,12415057,12871118,13329138,13787548,14243826,14696808,15145311,15588496,16020429,16437693
"Population ages 00-14, total",SP.POP.0014.TO,Antigua and Barbuda,ATG,22548,22893,23228,23590,24208,25019,25783,26556,27320,28045,28247,27864,27307,26641,25913,25149,24423,23796,23219,22710,22218,21664,21113,20611,20083,19625,19323,19075,18903,18833,18831,18838,18892,19048,19277,19561,19904,20248,20509,20675,20862,21023,21032,20972,20875,20722,20595,20520,20497,20504,20377,20134,19861,19579,19326,19029,18688,18398,18118,17859,17683,17545,17390,17149
"Population ages 00-14, total",SP.POP.0014.TO,Arab World,ARB,40616274,41871030,43138179,44454787,45808554,47203509,48660237,50171027,51689406,53222198,54789864,56396300,58059115,59780961,61551983,63539759,65860269,68110642,70124574,72334085,74696240,76917988,79153219,81496992,83849630,86157406,88509631,90836432,92906149,94877311,97421850,98828024,100462938,102270481,104013816,105437039,106651229,107691334,108662170,109619331,110579342,111530200,112500054,113499726,114565935,115763250,116986871,118272839,119920489,121860024,123977395,126292227,128885638,131915254,135032801,137934147,140569880,143002621,145399755,147698841,149784264,151605810,153165560,154470401
"Population ages 00-14, total",SP.POP.0014.TO,Argentina,ARG,6332082,6406608,6480804,6555377,6630601,6704851,6776657,6848174,6920769,6998449,7085429,7183794,7292980,7419267,7568578,7726463,7888774,8058684,8232240,8409551,8587457,8762245,8931392,9094356,9249100,9392360,9523446,9642770,9749401,9841087,9923135,9997310,10061416,10120239,10177919,10232736,10280809,10322641,10362154,10404492,10446623,10480859,10506597,10524279,10536490,10545212,10549195,10548628,10542552,10535676,10458055,10488330,10528457,10575005,10620844,10666195,10712909,10749948,10764622,10758123,10734508,10699429,10658669,10606499
"Population ages 00-14, total",SP.POP.0014.TO,Armenia,ARM,726805,776854,820006,855874,886192,911333,931334,947583,960854,970725,976541,978166,975994,970870,963469,955082,949440,949960,955752,958155,957139,960780,969568,982790,996278,1007031,1016055,1023528,1027833,1045134,1072976,1094530,1086249,1053773,1024780,999885,978817,955058,926507,891782,852504,813136,777733,745893,715186,683510,650095,618251,593399,577474,567188,559867,556564,556860,560245,564921,569146,572365,573502,572707,570754,569988,569378,566457
"Population ages 00-14, total",SP.POP.0014.TO,Aruba,ABW,23553,23970,24290,24520,24644,24651,24550,24241,23758,23254,22713,22126,21594,21143,20693,20248,19695,19089,18607,18245,18010,17968,17978,17946,17905,17754,17468,17097,16779,16799,17453,18796,19726,19917,20057,20040,19972,20038,20227,20508,20721,20750,20654,20489,20269,20180,20307,20503,20707,20885,20819,20486,20154,19906,19730,19600,19477,19332,19147,18912,18494,17898,17287,16698
"Population ages 00-14, total",SP.POP.0014.TO,Australia,AUS,3102729,3165645,3228925,3274289,3324362,3372215,3430332,3450329,3487226,3543368,3599427,3705100,3748873,3770291,3819869,3811051,3784571,3760568,3739221,3717802,3709891,3722402,3743142,3746087,3735117,3720536,3702925,3693234,3703187,3729396,3758588,3787510,3814252,3832361,3852178,3874592,3896004,3909517,3918837,3931994,3946041,3962039,3968117,3973231,3976103,3985940,4004612,4047567,4100811,4158640,4198448,4238161,4304760,4377142,4439583,4501357,4569485,4635819,4688138,4732153,4755814,4719265,4729430,4789522
"Population ages 00-14, total",SP.POP.0014.TO,Austria,AUT,1553750,1589681,1616107,1639050,1667652,1698386,1729722,1760843,1787157,1807608,1819711,1824378,1823242,1813470,1793123,1761187,1721547,1678602,1631230,1582480,1541793,1512107,1480906,1444034,1410870,1384368,1363321,1346846,1338284,1338413,1345403,1362687,1387153,1406249,1415151,1416076,1411053,1400676,1388646,1377565,1365678,1352940,1343038,1334790,1326563,1317948,1304092,1286374,1269241,1253224,1239877,1229348,1221818,1219169,1222502,1236508,1255365,1268431,1275901,1280932,1284315,1288336,1300046,1312038
"Population ages 00-14, total",SP.POP.0014.TO,Azerbaijan,AZE,1592457,1721008,1826140,1918932,2010611,2088066,2157327,2215009,2260801,2297573,2323042,2340706,2348179,2343977,2331115,2309651,2269356,2216659,2168933,2140471,2131924,2131911,2143529,2162539,2190937,2225999,2266313,2315001,2364089,2423390,2478372,2519249,2561179,2598341,2620299,2626068,2619845,2604494,2580378,2543845,2494561,2435724,2372908,2310826,2254931,2207577,2169825,2143605,2148051,2160735,2164509,2184097,2218205,2261488,2308586,2355505,2397995,2426455,2439902,2447294,2444968,2425452,2381310,2317979
